6882.000000 155438.000000
6875.000000 160212.000000
6780.000000 160244.000000
6744.000000 160331.000000
6742.000000 160449.000000
6741.000000 160476.000000
6740.000000 160505.000000
6731.000000 160618.000000
6728.000000 160703.000000
6719.000000 160751.000000
6716.000000 161173.000000
6710.000000 161469.000000
6525.000000 162213.000000
6499.000000 162707.000000
6497.000000 162978.000000
6480.000000 163051.000000
6476.000000 163130.000000
6475.000000 163301.000000
6474.000000 163455.000000
6472.000000 165038.000000
6458.000000 168178.000000
6457.000000 168907.000000
6453.000000 168925.000000
6440.000000 169086.000000
6426.000000 169145.000000
6411.000000 169307.000000
6410.000000 169772.000000
6409.000000 169778.000000
6408.000000 170159.000000
6407.000000 170360.000000
6403.000000 172753.000000
